City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Boca Do Acre,BR,75.78,very heavy rain,-8.7522,-67.3978,Hotel Sao Pedro
641,Soto La Marina,MX,81.77,overcast clouds,23.7667,-98.2167,Hotel Chicago
642,Tequila,MX,80.33,scattered clouds,20.8833,-103.8333,Hotel La Rienda Mision Tequillan
649,Stephenville,US,84.99,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
651,Kupang,ID,85.37,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
658,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
659,Natchez,US,78.24,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
676,Nueva Gerona,CU,80.47,clear sky,21.8833,-82.8,Villa Gerona
681,Tam Ky,VN,87.69,broken clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
682,Kirakira,SB,84.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
685,Thinadhoo,MV,84.74,overcast clouds,0.5333,72.9333,
686,Ghogha,IN,89.71,smoke,21.6833,72.2833,"GUEST HOUSE,GHOGHA"
687,Sola,VU,81.14,broken clouds,-13.8833,167.55,Leumerus Bungalows
692,Merauke,ID,86.99,overcast clouds,-8.4667,140.3333,
696,Karratha,AU,79.63,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
706,Puerto Ayacucho,VE,76.51,very heavy rain,5.6639,-67.6236,Posada Turistica Manapiare
707,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
708,Luganville,VU,80.65,broken clouds,-15.5333,167.1667,The Espiritu Hotel
709,Dwarka,IN,84.49,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
710,Dan Khun Thot,TH,88.68,broken clouds,15.2085,101.7714,Sai Thong Hotel
